BENCH,NR_WAYS,ipc,llcrpki,llcmpki,llcrpkc,llcmpkc,llc_usage_kb,bandwidth_mbps,llcm_bandwidth,stalls_l2_miss,stalls_l3_miss,stalls_total,stalls_store_buf
dealII06,6,2.313899,2.379398,0.798393,5.505689,1.847402,14144.214047,257.6606,234.263975,0.017312,0.013138,0.143223,0.005085
dealII06,7,2.318116,2.375655,0.678543,5.507044,1.572941,16158.662207,221.969668,199.44981,0.016728,0.01242,0.141888,0.005112
dealII06,8,2.319998,2.381897,0.591014,5.525996,1.371151,17919.197324,200.96527,173.860696,0.016271,0.011882,0.141394,0.005111
dealII06,9,2.308452,2.389617,0.519835,5.516317,1.200013,20189.16388,171.608358,152.165296,0.015591,0.01122,0.143262,0.005014
eon00,1,2.401219,0.00174,3.4E-05,0.004178,8.2E-05,249.565217,0.017055,0.01042,0,0,0.06124,0.092792
eon00,10,2.414252,0.001625,3.8E-05,0.003924,9.2E-05,751.304348,0.017148,0.011689,0,0,0.059472,0.090602
eon00,11,2.414159,0.001666,4.1E-05,0.004023,1E-04,526.086957,0.051442,0.01276,0,0,0.05918,0.090743
eon00,2,2.40995,0.00166,4.5E-05,0.004001,0.000107,631.304348,0.042794,0.013701,0,0,0.060351,0.091959
eon00,3,2.41502,0.001618,4.4E-05,0.003907,0.000106,1145.217391,0.060037,0.013528,0,0,0.059381,0.090725
eon00,4,2.410283,0.001688,3.6E-05,0.004068,8.7E-05,631.304348,0.0428,0.011148,0,0,0.059411,0.091237
eon00,5,2.415301,0.001686,3.7E-05,0.004073,8.8E-05,827.826087,0.017155,0.011272,0,0,0.059398,0.090572
eon00,6,2.410248,0.001662,4.5E-05,0.004005,0.000107,972.173913,0.01712,0.013696,0,0,0.060228,0.090266
eon00,7,2.412861,0.001643,3.5E-05,0.003965,8.5E-05,743.478261,0.042845,0.010832,0,0,0.05958,0.0916
eon00,8,2.412874,0.001698,3.5E-05,0.004097,8.5E-05,879.130435,0.008569,0.010879,0,0,0.05888,0.091261
eon00,9,2.397115,0.001728,3.3E-05,0.004143,8E-05,627.826087,0.042566,0.010216,0,0,0.059973,0.090798
equake00,1,1.909431,30.725402,26.259759,58.668033,50.141196,2539.366516,6517.640387,6391.991642,0.066412,0.059617,0.192128,0.000333
equake00,10,2.082396,30.765768,9.581629,64.066518,19.952748,23377.737557,2711.456052,2544.257857,0.022943,0.01379,0.127544,0.000292
equake00,11,2.069646,30.755394,8.490211,63.652792,17.571735,25092.850679,2356.19618,2240.608271,0.022794,0.013756,0.132946,0.000289
equake00,2,1.918179,30.724532,23.788684,58.935156,45.630957,5086.334842,6592.682651,5817.106382,0.053657,0.046186,0.188637,0.000311
equake00,3,1.965786,30.685261,20.740814,60.320664,40.772007,7423.710407,5370.49091,5198.144343,0.035341,0.026924,0.164728,0.000306
equake00,4,1.985763,30.726528,18.597382,61.015606,36.929995,10291.040724,5162.420532,4708.763319,0.030011,0.021171,0.163243,0.000306
equake00,5,2.014012,30.752284,16.998705,61.935477,34.235601,12363.800905,4382.774906,4365.19314,0.027942,0.018961,0.152175,0.000304
equake00,6,2.008304,30.756414,15.263629,61.768229,30.654007,14611.402715,3943.147379,3908.944998,0.027471,0.018431,0.155277,0.000299
equake00,7,2.020656,30.755406,13.744294,62.146088,27.772487,17177.918552,3259.816188,3541.460617,0.026227,0.017239,0.150448,0.000296
equake00,8,2.052896,30.756476,12.27108,63.13986,25.191255,19540.271493,3022.037992,3211.931117,0.024894,0.015787,0.138032,0.000297
equake00,9,2.0942,30.745957,10.95119,64.388173,22.933978,21455.565611,2880.1987,2924.442311,0.022987,0.013818,0.121993,0.000299
facerec00,1,1.816405,11.075944,6.793323,20.118398,12.339424,2375.919732,1506.423124,1557.708704,0.022043,0.020705,0.291037,0.045382
facerec00,10,1.892967,11.095203,0.056803,21.002849,0.107526,16043.61204,9.031039,13.583219,0.001616,1E-04,0.262674,0.046743
facerec00,11,1.900757,11.065055,0.036879,21.031981,0.070097,16786.086957,6.214805,8.855151,0.001616,6.7E-05,0.262245,0.046769
facerec00,2,1.851764,11.097522,4.475409,20.549988,8.287401,4539.130435,942.492379,1046.202974,0.011781,0.010135,0.27883,0.046131
facerec00,3,1.87405,11.098658,2.846686,20.799438,5.334831,6943.411371,603.294641,673.866586,0.005425,0.003853,0.271748,0.046554
facerec00,4,1.883481,11.120883,1.991817,20.94597,3.751548,8771.906355,407.008608,473.816849,0.00388,0.00227,0.268609,0.046704
facerec00,5,1.890311,11.103639,1.263379,20.989334,2.388179,10722.140468,228.472109,301.720571,0.002982,0.001375,0.265655,0.046815
facerec00,6,1.893713,11.105355,0.782812,21.030358,1.482421,12050.033445,102.812357,187.264843,0.002668,0.000913,0.264647,0.046935
facerec00,7,1.89851,11.117639,0.424217,21.106953,0.80538,14251.505017,82.439774,101.737559,0.002134,0.000545,0.263256,0.046904
facerec00,8,1.900305,11.104623,0.245946,21.102169,0.467372,14837.993311,114.512352,59.033177,0.001895,0.000318,0.262713,0.046864
facerec00,9,1.899891,11.094733,0.111449,21.078787,0.211741,14815.518395,29.091086,26.748302,0.001731,0.000164,0.262478,0.046831
fma3d00,1,1.985798,10.172472,9.3679,20.200478,18.602761,2531.371237,2385.931781,2370.68594,0.056574,0.054123,0.188636,0.021519
fma3d00,10,2.058674,10.162633,5.334142,20.921551,10.981261,24016.856187,1389.47512,1399.6662,0.031335,0.024592,0.156764,0.02032
fma3d00,11,2.070028,10.162129,5.06434,21.03589,10.483326,25929.632107,1369.258689,1336.18534,0.032158,0.025146,0.159502,0.020758
fma3d00,2,2.003923,10.190283,8.613893,20.420546,17.261581,5552.64214,2393.630774,2199.945023,0.049564,0.046872,0.182416,0.021713
fma3d00,3,2.015767,10.179668,8.043129,20.519841,16.213077,7836.254181,2079.993118,2066.277835,0.045963,0.042601,0.178846,0.021279
fma3d00,4,2.022446,10.178178,7.558533,20.584814,15.286725,9944.615385,1898.545094,1948.26887,0.043864,0.039674,0.17595,0.02159
fma3d00,5,2.048603,10.171513,7.098251,20.837394,14.5415,12589.431438,1802.382209,1853.348632,0.038693,0.033668,0.167374,0.021741
fma3d00,6,2.044439,10.180337,6.697212,20.81308,13.692043,14979.531773,1627.954638,1745.080789,0.039432,0.034008,0.169474,0.021745
fma3d00,7,2.05251,10.163489,6.310745,20.86066,12.952865,17073.177258,1530.292503,1650.916593,0.037488,0.031637,0.166875,0.021283
fma3d00,8,2.060997,10.167703,5.978062,20.955608,12.32077,19576.187291,1548.519103,1570.360125,0.03537,0.029167,0.163429,0.020623
fma3d00,9,2.060268,10.170931,5.649219,20.954843,11.638904,21945.685619,1515.222301,1483.474049,0.034929,0.028377,0.164028,0.020748
galgel00,1,2.915712,10.676372,3.326123,31.129229,9.698018,3104.481605,922.905323,1236.842746,0.042946,0.033141,0.159425,0.001725
galgel00,10,3.150691,10.015476,0.040921,31.555665,0.128928,19576.187291,19.646876,16.444918,0.01054,0.000462,0.10645,0.001247
galgel00,11,3.148895,10.156324,0.043746,31.981199,0.137753,20785.551839,15.502231,17.570494,0.010838,0.000365,0.106636,0.001222
galgel00,2,3.067465,10.703181,1.018224,32.831634,3.123367,5836.254181,289.717152,398.357446,0.021238,0.011142,0.124677,0.001523
galgel00,3,3.129007,10.537535,0.260069,32.972021,0.813757,9664.481605,98.300045,103.781109,0.013854,0.003104,0.111241,0.00142
galgel00,4,3.135161,9.802246,0.17943,30.731622,0.56254,9979.93311,46.609573,71.754051,0.011612,0.001944,0.109269,0.001251
galgel00,5,3.143357,10.281766,0.125161,32.319256,0.393425,11840.267559,37.859771,50.181261,0.012022,0.001359,0.108275,0.001366
galgel00,6,3.143197,10.114141,0.123751,31.79074,0.388975,14184.882943,45.193185,49.613573,0.011678,0.001133,0.107947,0.001299
galgel00,7,3.136017,10.333226,0.101339,32.405172,0.317801,16184.882943,54.046389,40.535977,0.011456,0.000935,0.107456,0.001274
galgel00,8,3.146831,10.086302,0.07428,31.739892,0.233746,16851.103679,24.111238,29.81483,0.011213,0.00071,0.107172,0.001231
galgel00,9,3.150034,9.938879,0.066905,31.307807,0.210752,18862.876254,20.41496,26.879151,0.01083,0.000614,0.106683,0.001263
gamess06,1,3.067955,0.004515,0.001211,0.013852,0.003716,2325.886288,0.957652,0.473696,8E-06,7E-06,0.037138,0.000755
gamess06,10,3.063744,0.004171,0.000291,0.012779,0.000891,6765.752508,0.25104,0.113666,3E-06,1E-06,0.037382,0.000724
gamess06,11,3.065063,0.0044,0.000307,0.013487,0.000942,6456.187291,0.247799,0.120253,3E-06,2E-06,0.037503,0.000747
gamess06,2,3.06431,0.004342,0.000778,0.013304,0.002385,2955.183946,0.64613,0.304359,5E-06,3E-06,0.037504,0.000835
gamess06,3,3.066545,0.004977,0.000546,0.015264,0.001674,3904.214047,0.365178,0.213597,5E-06,2E-06,0.037471,0.000694
gamess06,4,3.064698,0.004429,0.000362,0.013572,0.001108,5374.715719,0.388397,0.141401,3E-06,2E-06,0.037222,0.000772
gamess06,5,3.068373,0.004213,0.000344,0.012927,0.001056,7052.040134,0.368749,0.134727,3E-06,2E-06,0.037114,0.000756
gamess06,6,3.064851,0.004648,0.000315,0.014247,0.000966,5560.133779,0.314751,0.123276,3E-06,1E-06,0.038436,0.000666
gamess06,7,3.06666,0.004596,0.000322,0.014094,0.000986,5092.976589,0.388645,0.125846,4E-06,2E-06,0.037174,0.00073
gamess06,8,3.06261,0.004939,0.000311,0.015127,0.000954,6136.989967,0.394821,0.121677,3E-06,1E-06,0.037578,0.000713
