BENCH,NR_WAYS,ipc,llcrpki,llcmpki,llcrpkc,llcmpkc,llc_usage_kb,bandwidth_mbps,llcm_bandwidth,stalls_l2_miss,stalls_l3_miss,stalls_total,stalls_store_buf
h264ref06,5,2.991205,1.969586,0.039784,5.891435,0.119002,11434.648829,20.395691,15.1756,0.003757,0.000881,0.053169,0.000521
h264ref06,6,2.993285,1.978265,0.023052,5.921512,0.069,13109.832776,10.363583,8.799256,0.003342,0.000498,0.052553,0.000523
h264ref06,7,2.994117,1.978852,0.014181,5.924914,0.04246,13123.478261,5.639233,5.41469,0.003187,0.000295,0.052498,0.000519
h264ref06,8,2.991932,1.982385,0.009698,5.931161,0.029016,13966.822742,2.904165,3.700302,0.003088,0.000203,0.052301,0.000515
h264ref06,9,2.993307,1.980463,0.00688,5.928134,0.020595,13968.428094,4.261894,2.626466,0.003051,0.000131,0.052375,0.000525
hmmer06,1,2.851005,2.662946,0.984153,7.592072,2.805824,1905.551839,304.537051,357.733604,0.001401,0.001031,0.00901,0.000283
hmmer06,10,2.869306,2.655986,0.005359,7.620837,0.015376,13363.745819,2.672651,1.961056,0.000419,4E-06,0.004312,0.000242
hmmer06,11,2.86895,2.644706,0.004376,7.587527,0.012554,16339.799331,2.612798,1.60111,0.000398,2E-06,0.004206,0.000249
hmmer06,2,2.86382,2.647044,0.35568,7.580657,1.018602,4367.35786,129.831848,129.898334,0.000718,0.000334,0.005439,0.000254
hmmer06,3,2.868262,2.634848,0.138725,7.557435,0.397901,6828.361204,58.088176,50.745912,0.000526,0.000113,0.004779,0.00032
hmmer06,4,2.866945,2.697416,0.073024,7.733343,0.209356,8510.501672,20.994158,26.701294,0.00048,5.8E-05,0.004378,0.00027
hmmer06,5,2.867123,2.673982,0.034278,7.666635,0.098279,9877.190635,12.451248,12.534342,0.000428,2.3E-05,0.004379,0.000253
hmmer06,6,2.871171,2.648028,0.020903,7.602943,0.060016,11639.063545,9.904357,7.654462,0.00043,1.6E-05,0.004287,0.000228
hmmer06,7,2.871226,2.644138,0.012851,7.591916,0.036897,12520.668896,3.505289,4.705892,0.000412,1E-05,0.004183,0.000239
hmmer06,8,2.870689,2.643858,0.00851,7.589696,0.024429,13705.953177,3.253863,3.115738,0.000422,4E-06,0.004252,0.000254
hmmer06,9,2.867984,2.670806,0.006693,7.659829,0.019195,13444.548495,2.806075,2.448178,0.000415,4E-06,0.00428,0.00026
lbm06,1,1.865047,31.873903,29.647035,59.446321,55.293109,2911.839465,7224.522222,7050.941519,0.00773,0.007207,0.206493,0.035288
lbm06,10,1.882912,31.906848,17.551758,60.077791,33.048418,25137.123746,4316.261022,4215.579481,0.004275,0.003861,0.200232,0.031768
lbm06,11,1.881637,31.916983,17.399228,60.056166,32.739026,27421.80602,4322.668569,4175.623365,0.004192,0.00376,0.200546,0.03168
lbm06,2,1.870109,31.915122,26.065821,59.68477,48.745939,5268.762542,6379.943102,6216.567163,0.006596,0.006123,0.204829,0.034133
lbm06,3,1.872671,31.913001,23.272892,59.762553,43.582471,7516.254181,5630.221235,5557.759617,0.005847,0.005394,0.204005,0.033213
lbm06,4,1.87643,31.906207,21.167986,59.869764,39.720244,10084.816054,5111.108885,5064.975145,0.005171,0.004731,0.202794,0.032734
lbm06,5,1.878432,31.909316,19.736662,59.93947,37.073972,12735.250836,4838.692666,4727.785346,0.004869,0.004437,0.201957,0.032443
lbm06,6,1.880337,31.890941,18.911582,59.965731,35.560155,15014.849498,4706.336348,4535.19344,0.004613,0.004193,0.201191,0.032085
lbm06,7,1.882159,31.902208,18.431946,60.045033,34.691856,17632.64214,4555.848395,4424.679683,0.004489,0.004068,0.201017,0.032028
lbm06,8,1.882874,31.903645,17.952498,60.070535,33.802288,20110.769231,4466.068199,4311.516817,0.004314,0.003894,0.200418,0.031904
lbm06,9,1.883145,31.908619,17.724219,60.088554,33.377274,22682.006689,4397.856968,4257.600938,0.004289,0.003864,0.200189,0.03185
leslie3d06,1,3.091959,9.057327,7.926376,28.004882,24.508028,2524.147157,3220.947133,3125.105473,0.024264,0.022487,0.061745,0.000288
leslie3d06,10,3.160863,9.059306,4.204819,28.635227,13.290857,24897.926421,1819.922553,1695.394995,0.014102,0.011985,0.044198,0.000222
leslie3d06,11,3.158685,9.065259,3.925392,28.634296,12.399077,27008.160535,1687.132641,1581.60446,0.013155,0.011079,0.043424,0.000206
leslie3d06,2,3.104309,9.061381,7.270442,28.129327,22.569698,5024.749164,2904.197561,2878.203704,0.021417,0.019595,0.057953,0.000253
